Date,Open,High,Low,Close,Adj Close,Volume
2019-07-30,262.899994,264.799988,261.000000,262.299988,261.245300,2415087
2019-07-31,262.500000,266.299988,260.549988,265.299988,264.233246,2849216
2019-08-01,271.500000,276.149994,268.549988,270.399994,269.312744,17651207
2019-08-02,269.899994,270.899994,261.700012,263.649994,262.589874,4978666
2019-08-05,261.149994,265.399994,260.299988,262.000000,260.946503,3832734
2019-08-06,262.000000,262.700012,257.799988,258.899994,257.858978,3953226
2019-08-07,259.000000,264.250000,259.000000,262.549988,261.494293,3996033
2019-08-08,263.000000,267.000000,261.350006,265.750000,264.681427,3625435
2019-08-09,266.000000,268.700012,262.850006,263.500000,262.440491,3530499
2019-08-13,264.899994,264.899994,258.000000,258.500000,257.460602,2190450
2019-08-14,259.799988,260.100006,250.250000,251.050003,250.040543,4353363
2019-08-16,250.000000,251.000000,245.050003,249.199997,248.197983,4972435
2019-08-19,250.300003,253.199997,250.000000,252.100006,251.086334,2770076
2019-08-20,253.300003,259.100006,252.199997,253.300003,252.281494,7965121
2019-08-21,253.500000,254.899994,251.100006,252.399994,251.385117,3413265
2019-08-22,252.000000,253.500000,248.500000,252.050003,251.036530,3369902
2019-08-23,252.949997,257.100006,249.550003,251.399994,250.389130,4896969
2019-08-26,252.399994,252.949997,247.850006,249.100006,248.098389,3264710
2019-08-27,248.699997,251.649994,247.100006,250.100006,249.094376,4022551
2019-08-28,250.100006,253.199997,248.100006,249.250000,248.247787,2681657
2019-08-29,247.050003,250.250000,247.050003,248.800003,247.799591,2719051
2019-08-30,250.100006,255.250000,249.149994,254.399994,253.377075,4184013
2019-09-03,254.100006,255.350006,252.550003,253.649994,252.630081,2205559
2019-09-04,251.500000,256.850006,251.300003,256.049988,255.020432,3303331
2019-09-05,258.899994,258.899994,254.500000,255.600006,254.572250,4405617
2019-09-06,255.350006,257.299988,248.800003,252.000000,250.986725,11436052
2019-09-09,251.399994,256.100006,250.350006,255.600006,254.572250,5790956
2019-09-11,254.000000,255.000000,247.350006,248.149994,247.152206,9799112
2019-09-12,245.699997,248.500000,244.000000,244.550003,243.566681,4664757
2019-09-13,245.000000,247.399994,243.199997,245.350006,244.363464,3810120
2019-09-16,245.100006,247.850006,244.100006,247.100006,246.106430,3975191
2019-09-17,246.949997,247.399994,243.699997,244.149994,243.168289,3164765
2019-09-18,245.399994,245.949997,243.300003,244.300003,243.317688,2526280
2019-09-19,245.250000,245.850006,240.250000,241.500000,240.528946,2568837
2019-09-20,241.899994,248.699997,240.500000,245.949997,244.961044,6196250
2019-09-23,247.699997,248.000000,236.500000,239.350006,238.387604,6776981
2019-09-24,240.899994,242.949997,239.500000,240.699997,239.732162,5768331
2019-09-25,240.500000,241.350006,238.000000,238.800003,237.839798,3604998
2019-09-26,239.199997,240.449997,236.550003,237.100006,236.146637,5388740
2019-09-27,237.399994,239.000000,235.800003,236.600006,235.648651,3191675
2019-09-30,237.000000,240.649994,235.750000,239.800003,238.835785,3298953
2019-10-01,240.000000,240.449997,232.199997,233.500000,232.561111,4377330
2019-10-03,234.199997,239.600006,232.550003,235.850006,234.901672,4785230
2019-10-04,238.000000,240.899994,236.250000,237.699997,236.744217,2975521
2019-10-07,238.050003,242.399994,236.199997,237.050003,236.096848,2223668
2019-10-09,239.250000,239.600006,236.399994,237.750000,236.794022,2278138
2019-10-10,237.750000,239.600006,235.800003,239.199997,238.238190,2067862
2019-10-11,237.000000,240.399994,236.500000,239.449997,238.487183,2658289
2019-10-14,239.800003,244.850006,238.000000,243.449997,242.471100,3592137
2019-10-15,244.949997,245.500000,239.250000,243.649994,242.670288,8551893
2019-10-16,245.899994,251.699997,244.000000,248.899994,247.899185,16285829
2019-10-17,248.899994,250.149994,246.600006,247.850006,246.853424,5162240
2019-10-18,247.850006,250.699997,247.850006,248.899994,247.899185,2764389
2019-10-22,249.000000,254.449997,247.100006,253.550003,252.530502,6273288
2019-10-23,252.800003,255.550003,250.050003,254.350006,253.327286,2674254
2019-10-24,253.899994,254.199997,249.199997,249.600006,248.596375,3917098
2019-10-25,252.050003,253.500000,248.750000,253.000000,251.982712,3265289
2019-10-27,null,null,null,null,null,null
2019-10-29,253.649994,255.899994,252.199997,255.199997,254.173859,3191442
2019-10-30,258.000000,260.899994,253.399994,254.750000,253.725662,4059545
2019-10-31,254.000000,260.000000,253.800003,259.299988,258.257355,3496262
2019-11-01,260.200012,261.000000,256.750000,258.600006,257.560181,2530921
2019-11-04,259.299988,260.700012,255.750000,256.600006,255.568237,1920535
2019-11-05,257.299988,259.399994,254.699997,258.500000,257.460602,1584724
2019-11-06,259.000000,259.450012,256.049988,256.850006,255.817230,1627619
2019-11-07,257.000000,260.500000,256.600006,259.649994,258.605957,2126967
2019-11-08,260.149994,260.799988,255.750000,256.399994,255.369034,1539854
2019-11-11,257.200012,257.500000,253.399994,256.450012,255.418839,1902379
2019-11-13,257.299988,259.000000,252.149994,253.100006,252.082306,1861473
2019-11-14,254.000000,254.750000,251.399994,252.750000,251.733704,2898206
2019-11-15,254.000000,254.199997,251.649994,252.550003,251.534515,1212917
2019-11-18,252.500000,252.500000,248.300003,249.449997,248.446976,2878437
2019-11-19,248.199997,251.149994,247.699997,250.399994,249.393158,2030656
2019-11-20,251.750000,251.750000,248.399994,248.899994,247.899185,1494149
2019-11-21,248.399994,249.500000,247.000000,247.550003,246.554626,1744098
2019-11-22,243.300003,245.649994,242.100006,243.100006,242.122513,4091556
2019-11-25,243.050003,243.800003,241.300003,243.000000,242.022919,1891197
2019-11-26,244.199997,244.600006,236.500000,237.550003,236.594833,7690402
2019-11-27,239.000000,240.899994,238.050003,240.050003,239.084778,1947247
2019-11-28,239.949997,240.500000,238.250000,239.800003,238.835785,1599370
2019-11-29,240.050003,241.199997,236.850006,237.699997,236.744217,2666961
2019-12-02,238.250000,239.699997,235.550003,238.600006,237.640610,3629960
2019-12-03,238.500000,238.500000,235.399994,236.800003,235.847839,2865185
2019-12-04,236.600006,242.750000,236.500000,242.199997,241.226135,3335966
2019-12-05,242.699997,244.899994,241.100006,243.699997,242.720093,2613145
2019-12-06,243.699997,244.500000,240.350006,241.000000,240.030960,1367558
2019-12-09,240.800003,241.649994,238.600006,240.399994,239.433365,1207295
2019-12-10,240.399994,240.399994,237.100006,238.149994,237.192413,2205613
2019-12-11,237.649994,240.800003,236.350006,240.050003,239.084778,2387660
2019-12-12,240.350006,241.250000,238.699997,239.449997,238.487183,1405948
2019-12-13,242.000000,244.850006,240.000000,243.850006,242.869507,4311833
2019-12-16,243.899994,246.399994,242.600006,243.149994,242.172302,2842577
2019-12-17,244.250000,245.949997,243.550003,244.750000,243.765884,2211379
2019-12-18,245.850006,249.899994,245.500000,248.300003,247.301605,5299107
2019-12-19,248.600006,250.649994,247.649994,249.199997,248.197983,2484211
2019-12-20,248.000000,253.800003,247.300003,251.800003,250.787537,5211626
2019-12-23,252.800003,254.699997,251.600006,253.850006,252.829300,1850652
2019-12-24,253.000000,253.949997,251.100006,252.250000,251.235718,1544480
2019-12-26,252.000000,252.399994,249.550003,250.300003,249.293564,2026434
2019-12-27,250.000000,250.750000,246.350006,247.550003,246.554626,2511120
2019-12-30,248.449997,249.550003,246.600006,248.949997,247.948990,2166807
