Date,Open,High,Low,Close,Adj Close,Volume
2019-07-30,337.000000,348.299988,335.149994,345.750000,345.750000,12722092
2019-07-31,343.200012,353.750000,332.700012,337.600006,337.600006,10861621
2019-08-01,335.000000,338.750000,321.149994,323.899994,323.899994,9773900
2019-08-02,332.000000,354.950012,327.200012,343.549988,343.549988,28059958
2019-08-05,340.100006,361.649994,339.049988,357.700012,357.700012,15227460
2019-08-06,354.100006,375.399994,354.100006,368.450012,368.450012,17019717
2019-08-07,368.000000,372.950012,362.500000,366.100006,366.100006,12524292
2019-08-08,366.000000,378.750000,365.399994,372.149994,372.149994,16050094
2019-08-09,372.000000,373.750000,364.149994,371.149994,371.149994,7700362
2019-08-13,361.200012,365.000000,346.149994,351.649994,351.649994,14028958
2019-08-14,355.000000,363.850006,347.299988,361.200012,361.200012,7669905
2019-08-16,360.000000,365.000000,355.000000,361.549988,361.549988,5719722
2019-08-19,363.450012,366.250000,359.799988,361.000000,361.000000,4521771
2019-08-20,360.500000,362.350006,357.399994,358.049988,358.049988,5266052
2019-08-21,358.000000,360.200012,353.149994,354.899994,354.899994,4046902
2019-08-22,355.000000,357.200012,351.000000,352.750000,352.750000,3113528
2019-08-23,354.000000,358.950012,350.500000,356.399994,356.399994,4590240
2019-08-26,357.950012,362.649994,346.899994,360.649994,360.649994,4931663
2019-08-27,362.500000,368.200012,344.750000,348.299988,348.299988,32201102
2019-08-28,349.500000,349.500000,340.500000,345.799988,345.799988,5524473
2019-08-29,342.350006,349.750000,341.149994,343.500000,343.500000,5929198
2019-08-30,345.000000,349.600006,338.750000,346.799988,346.799988,4765624
2019-09-03,345.500000,345.950012,335.500000,336.850006,336.850006,4226095
2019-09-04,336.000000,347.350006,335.100006,345.700012,345.700012,5144579
2019-09-05,345.000000,349.350006,340.950012,347.700012,347.700012,3264321
2019-09-06,350.200012,354.000000,345.100006,349.250000,349.250000,6274987
2019-09-09,350.950012,357.399994,349.549988,356.450012,356.450012,3712496
2019-09-11,361.750000,361.950012,351.200012,355.100006,355.100006,4810430
2019-09-12,358.399994,358.399994,346.750000,347.549988,347.549988,5535262
2019-09-13,347.600006,349.700012,340.899994,343.049988,343.049988,4920207
2019-09-16,343.000000,345.399994,338.399994,344.000000,344.000000,5010025
2019-09-17,348.799988,348.799988,332.549988,339.850006,339.850006,8329655
2019-09-18,341.600006,344.149994,334.600006,335.600006,335.600006,7490889
2019-09-19,338.399994,342.549988,334.700012,337.600006,337.600006,11672389
2019-09-20,339.700012,365.100006,335.049988,356.399994,356.399994,15528435
2019-09-23,356.000000,362.250000,345.000000,348.000000,348.000000,5746894
2019-09-24,348.000000,352.000000,345.399994,348.649994,348.649994,4722666
2019-09-25,349.049988,350.950012,338.000000,341.649994,341.649994,4610586
2019-09-26,341.049988,347.049988,340.450012,344.049988,344.049988,4867361
2019-09-27,344.000000,354.899994,339.250000,349.100006,349.100006,3353263
2019-09-30,353.000000,374.899994,344.250000,367.049988,367.049988,19616421
2019-10-01,370.000000,370.649994,346.850006,350.950012,350.950012,7208995
2019-10-03,350.950012,355.600006,341.299988,344.899994,344.899994,4944826
2019-10-04,348.299988,348.700012,334.250000,339.500000,339.500000,4705661
2019-10-07,338.000000,346.750000,337.100006,341.549988,341.549988,3500384
2019-10-09,343.100006,360.850006,339.000000,359.399994,359.399994,8685318
2019-10-10,362.899994,385.000000,362.000000,377.250000,377.250000,47660614
2019-10-11,374.950012,385.350006,372.600006,382.899994,382.899994,10908530
2019-10-14,384.450012,397.000000,380.250000,393.549988,393.549988,10729180
2019-10-15,390.000000,391.950012,381.549988,383.649994,383.649994,8585170
2019-10-16,381.100006,386.799988,377.350006,385.250000,385.250000,8912567
2019-10-17,385.000000,387.500000,379.049988,385.850006,385.850006,4787789
2019-10-18,384.950012,386.399994,380.500000,383.500000,383.500000,3979009
2019-10-22,381.799988,396.500000,367.200012,374.100006,374.100006,11357444
2019-10-23,373.500000,378.000000,355.000000,360.350006,360.350006,13337712
2019-10-24,353.950012,376.350006,325.500000,372.350006,372.350006,72697775
2019-10-25,369.899994,378.399994,362.600006,375.149994,375.149994,27754837
2019-10-27,null,null,null,null,null,null
2019-10-29,363.000000,365.649994,353.100006,359.899994,359.899994,36231891
2019-10-30,364.299988,371.350006,360.649994,367.950012,367.950012,16869202
2019-10-31,366.700012,376.799988,363.750000,374.250000,374.250000,12794123
2019-11-01,363.350006,376.399994,363.350006,373.049988,373.049988,13682012
2019-11-04,378.250000,381.700012,374.000000,378.000000,378.000000,7620719
2019-11-05,377.000000,385.500000,374.549988,383.950012,383.950012,6641731
2019-11-06,385.000000,385.399994,370.250000,371.450012,371.450012,8181919
2019-11-07,374.799988,375.500000,369.049988,371.750000,371.750000,4816149
2019-11-08,370.000000,375.850006,366.600006,369.149994,369.149994,5982102
2019-11-11,371.250000,373.950012,368.250000,371.500000,371.500000,2774571
2019-11-13,372.100006,373.399994,366.149994,368.600006,368.600006,6424227
2019-11-14,357.899994,367.100006,350.299988,362.500000,362.500000,21091587
2019-11-15,357.850006,398.500000,357.250000,393.049988,393.049988,55174490
2019-11-18,396.000000,420.549988,392.100006,409.200012,409.200012,42661408
2019-11-19,426.899994,445.649994,421.450012,439.350006,439.350006,62786851
2019-11-20,448.299988,452.950012,433.100006,437.299988,437.299988,55644344
2019-11-21,442.500000,442.500000,422.200012,426.299988,426.299988,22178883
2019-11-22,423.000000,429.950012,417.000000,420.649994,420.649994,16775621
2019-11-25,421.350006,455.649994,421.350006,451.399994,451.399994,33483563
2019-11-26,445.000000,447.000000,429.899994,432.350006,432.350006,23466171
2019-11-27,433.500000,437.000000,426.399994,433.350006,433.350006,13336531
2019-11-28,433.350006,443.899994,428.500000,436.649994,436.649994,21940833
2019-11-29,439.600006,449.649994,435.149994,442.450012,442.450012,20010753
2019-12-02,471.149994,485.600006,455.049988,458.600006,458.600006,55735805
2019-12-03,462.799988,465.049988,445.250000,459.100006,459.100006,23871561
2019-12-04,460.850006,464.799988,454.700012,461.399994,461.399994,16541195
2019-12-05,463.299988,463.600006,445.350006,447.350006,447.350006,17317332
2019-12-06,451.899994,452.399994,442.850006,444.850006,444.850006,11415172
2019-12-09,447.600006,451.600006,441.700012,445.850006,445.850006,7865300
2019-12-10,445.450012,451.000000,443.250000,447.000000,447.000000,7140031
2019-12-11,444.500000,449.049988,440.600006,442.750000,442.750000,6803615
2019-12-12,442.899994,443.850006,436.500000,438.649994,438.649994,7389050
2019-12-13,440.000000,440.700012,426.000000,427.799988,427.799988,13074677
2019-12-16,430.399994,431.049988,420.450012,421.850006,421.850006,6962613
2019-12-17,424.750000,441.500000,417.600006,439.950012,439.950012,22991811
2019-12-18,447.000000,447.100006,434.149994,438.299988,438.299988,17654537
2019-12-19,436.000000,456.799988,430.250000,449.450012,449.450012,13974432
2019-12-20,449.899994,460.399994,445.700012,453.799988,453.799988,21289419
2019-12-23,449.049988,459.149994,446.450012,454.799988,454.799988,10434970
2019-12-24,454.500000,460.000000,452.399994,457.149994,457.149994,6845488
2019-12-26,455.299988,456.500000,446.000000,447.549988,447.549988,5887041
2019-12-27,449.000000,457.049988,449.000000,455.100006,455.100006,5887082
2019-12-30,460.000000,464.700012,455.100006,460.500000,460.500000,11917988
