Date,Open,High,Low,Close,Adj Close,Volume
2019-07-30,268.000000,270.100006,266.549988,268.899994,255.749741,13233351
2019-07-31,268.600006,271.100006,266.000000,270.200012,256.986176,13649764
2019-08-01,270.450012,270.700012,266.500000,267.549988,254.465759,5925611
2019-08-02,267.200012,267.200012,263.100006,264.500000,251.564926,8890911
2019-08-05,264.399994,264.500000,257.649994,259.799988,247.094757,11556743
2019-08-06,258.750000,261.500000,258.149994,258.899994,246.238785,9408544
2019-08-07,259.049988,259.350006,253.100006,253.649994,241.245529,8489812
2019-08-08,255.000000,258.700012,253.000000,257.750000,245.145020,6370866
2019-08-09,258.850006,258.850006,253.500000,254.199997,241.768631,9927337
2019-08-13,253.800003,254.000000,244.000000,246.300003,234.254974,20992894
2019-08-14,246.300003,253.600006,244.050003,248.750000,236.585159,13809031
2019-08-16,248.750000,253.399994,247.399994,253.000000,240.627319,10337358
2019-08-19,253.500000,257.299988,250.949997,251.550003,239.248230,12524627
2019-08-20,251.600006,251.949997,245.449997,246.500000,234.445190,15000271
2019-08-21,246.699997,246.899994,240.850006,241.449997,229.642151,14736226
2019-08-22,242.199997,246.000000,239.000000,240.050003,228.310623,10513066
2019-08-23,239.000000,239.449997,234.649994,236.100006,224.553802,16440329
2019-08-26,240.699997,243.449997,234.949997,242.500000,230.640808,12857092
2019-08-27,243.949997,246.300003,242.699997,245.500000,233.494095,14529777
2019-08-28,246.149994,247.649994,243.100006,245.949997,233.922089,8894489
2019-08-29,243.949997,245.449997,240.149994,241.199997,229.404373,11105245
2019-08-30,242.750000,247.199997,239.050003,245.649994,233.636749,11772247
2019-09-03,244.449997,244.449997,240.649994,241.550003,229.737274,9546229
2019-09-04,241.600006,244.550003,241.300003,243.250000,231.354126,7032392
2019-09-05,242.000000,246.899994,242.000000,244.250000,232.305222,8451611
2019-09-06,244.300003,245.850006,243.250000,243.899994,231.972336,8704669
2019-09-09,244.649994,246.500000,243.199997,245.500000,233.494095,9085228
2019-09-11,244.600006,245.449997,243.000000,243.750000,231.829681,8968683
2019-09-12,244.300003,245.000000,240.000000,240.750000,228.976395,8083759
2019-09-13,241.000000,242.449997,238.600006,239.899994,228.167953,14031943
2019-09-16,239.500000,240.850006,238.300003,239.399994,227.692398,7084644
2019-09-17,239.800003,240.100006,236.800003,237.199997,225.599991,10672279
2019-09-18,237.699997,242.300003,234.050003,239.250000,227.549744,19956339
2019-09-19,239.949997,239.949997,236.100006,236.699997,225.124451,8483309
2019-09-20,237.000000,248.500000,234.300003,238.050003,226.408432,63568127
2019-09-23,250.000000,260.500000,249.899994,254.850006,242.386856,52040316
2019-09-24,255.000000,258.000000,253.800003,256.000000,243.480606,17167257
2019-09-25,255.100006,256.250000,242.699997,247.550003,235.443848,20597095
2019-09-26,247.300003,251.399994,246.250000,250.399994,238.154465,17847616
2019-09-27,250.000000,258.000000,250.000000,252.949997,240.579758,17535666
2019-09-30,254.750000,260.799988,249.399994,259.850006,247.142334,20588289
2019-10-01,259.100006,262.450012,255.000000,255.899994,243.385498,15440899
2019-10-03,257.700012,262.149994,256.049988,261.649994,248.854294,12356337
2019-10-04,263.000000,263.899994,255.199997,257.250000,244.669479,18085064
2019-10-07,257.500000,258.000000,250.699997,251.899994,239.581100,21263568
2019-10-09,251.300003,252.199997,246.300003,247.100006,235.015854,21503869
2019-10-10,247.000000,247.649994,242.649994,243.199997,231.306580,24294966
2019-10-11,243.199997,246.199997,241.100006,243.949997,232.019897,25072193
2019-10-14,245.449997,246.399994,243.000000,244.100006,232.162567,14713799
2019-10-15,245.050003,249.199997,245.050003,247.600006,235.491409,9989191
2019-10-16,247.399994,247.600006,242.149994,243.649994,231.734558,16063295
2019-10-17,244.000000,246.699997,243.850006,245.850006,233.826981,13649598
2019-10-18,246.000000,247.800003,245.100006,246.500000,234.445190,12833554
2019-10-22,245.000000,251.100006,244.949997,248.899994,236.727814,18275636
2019-10-23,250.399994,251.949997,249.050003,251.050003,238.772690,12831461
2019-10-24,252.600006,254.000000,247.949997,249.050003,236.870483,16791340
2019-10-25,256.899994,257.200012,247.000000,247.699997,235.586502,32591192
2019-10-27,null,null,null,null,null,null
2019-10-29,250.949997,255.100006,249.550003,253.250000,240.865097,11937562
2019-10-30,256.000000,264.000000,254.300003,259.399994,246.714325,34291157
2019-10-31,260.000000,262.850006,256.200012,257.649994,245.049911,16654994
2019-11-01,259.350006,263.000000,258.750000,261.299988,248.521408,12571588
2019-11-04,262.950012,264.950012,260.049988,260.750000,247.998306,7895272
2019-11-05,261.000000,264.000000,258.600006,262.899994,250.043167,10278362
2019-11-06,262.950012,263.799988,260.000000,261.350006,248.568970,8857419
2019-11-07,262.899994,266.299988,262.000000,265.850006,252.848907,14782434
2019-11-08,264.850006,265.450012,260.000000,260.500000,247.760544,11899353
2019-11-11,260.600006,262.350006,258.799988,259.450012,246.761902,7245151
2019-11-13,258.899994,259.250000,253.149994,253.850006,241.435760,10269356
2019-11-14,254.100006,255.899994,253.250000,253.899994,241.483292,8880734
2019-11-15,254.250000,255.750000,250.000000,250.649994,238.392242,16741465
2019-11-18,251.449997,252.250000,248.750000,250.750000,238.487350,7864919
2019-11-19,251.750000,251.800003,248.800003,249.300003,237.108261,12152981
2019-11-20,249.300003,251.300003,246.699997,250.699997,238.439789,9978073
2019-11-21,251.399994,251.399994,245.050003,245.699997,233.684311,10393219
2019-11-22,247.149994,252.649994,246.649994,247.649994,235.538940,16370384
2019-11-25,247.750000,248.399994,246.250000,247.750000,235.634064,10586688
2019-11-26,248.649994,250.399994,247.699997,249.149994,236.965591,19778030
2019-11-27,249.750000,250.050003,246.600006,246.949997,234.873184,8841620
2019-11-28,247.300003,247.949997,245.649994,246.699997,234.635406,10992718
2019-11-29,246.750000,247.399994,245.000000,246.399994,234.350082,9807979
2019-12-02,246.000000,246.899994,244.550003,244.949997,232.970993,9972664
2019-12-03,244.949997,245.800003,242.649994,244.050003,232.115005,8129241
2019-12-04,243.500000,244.050003,242.000000,243.149994,231.259018,11946661
2019-12-05,243.149994,247.500000,243.100006,246.949997,234.873184,11265857
2019-12-06,247.000000,247.149994,242.500000,243.350006,231.449249,10374270
2019-12-09,243.000000,243.300003,241.000000,241.449997,229.642151,6722758
2019-12-10,241.600006,241.699997,235.000000,235.600006,224.078247,15380232
2019-12-11,235.600006,238.800003,235.600006,237.600006,225.980438,13799825
2019-12-12,238.050003,240.199997,237.600006,238.550003,226.883987,10307052
2019-12-13,240.000000,242.500000,239.199997,241.600006,229.784821,8205457
2019-12-16,243.000000,243.399994,236.350006,236.899994,225.314667,12014269
2019-12-17,237.500000,241.699997,237.500000,241.050003,229.261719,15921196
2019-12-18,240.600006,247.350006,239.750000,245.149994,233.161209,17134732
2019-12-19,246.050003,247.899994,243.250000,244.350006,232.400345,9339714
2019-12-20,244.350006,245.100006,240.149994,241.149994,229.356827,13958336
2019-12-23,242.000000,242.800003,238.649994,238.899994,227.216858,19082124
2019-12-24,239.000000,240.199997,238.199997,238.750000,227.074203,7896150
2019-12-26,238.899994,239.399994,236.350006,236.800003,225.219559,14460325
2019-12-27,237.500000,238.449997,236.449997,236.899994,225.314667,8712539
2019-12-30,238.000000,240.899994,237.500000,238.199997,226.551086,13173134
